,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
0,2,Santa Paula,106,3,2,3,0,0,0,0,0,755.0,555000
1,1,São José,138,3,2,2,0,0,0,0,0,,750000
2,2,Centro,70,2,2,1,0,0,0,0,0,609.0,474169
3,2,Santo Antônio,162,3,3,2,0,0,0,0,0,1300.0,760000
4,2,Santa Paula,66,2,2,1,0,0,0,1,1,,477000
5,2,Santa Maria,94,3,2,2,0,1,0,0,0,740.0,580000
6,2,Santa Paula,100,3,3,2,0,0,0,0,0,995.0,650000
7,2,Santa Paula,83,3,2,2,0,0,0,0,0,475.0,650000
8,2,Santa Paula,98,3,3,2,1,1,0,1,1,790.0,629000
9,2,Cerâmica,69,2,2,1,0,0,0,0,0,430.0,690000
10,2,Mauá,74,3,2,1,1,0,0,1,1,450.0,477000
11,2,Santa Paula,107,3,3,2,0,0,0,0,0,1070.0,615000
12,1,Santa Maria,390,3,6,8,0,0,0,0,1,,2700000
13,2,Barcelona,68,2,2,2,0,0,0,0,0,325.0,530000
14,2,Santa Paula,190,4,1,2,0,0,0,0,0,989.0,1150000
15,2,Olímpico,69,2,2,2,0,0,0,0,0,450.0,500000
16,2,Santa Paula,107,3,3,4,0,0,0,0,0,850.0,580000
17,2,Santa Paula,288,4,5,3,0,0,0,0,0,1800.0,1350000
18,2,Olímpico,92,3,2,2,0,1,0,1,1,600.0,850000
19,1,Prosperidade,260,4,6,8,0,1,0,0,1,,1200000
20,2,Cerâmica,69,2,2,1,0,0,0,0,0,550.0,750000
21,2,Nova Gerty,79,2,1,2,0,0,1,0,0,231.0,389000
22,2,Santa Maria,90,3,3,2,0,0,0,1,0,430.0,510000
23,2,Santa Maria,106,3,2,1,0,0,0,0,0,670.0,470000
24,2,Fundação,70,2,2,1,0,0,0,0,0,,479412
25,2,Centro,65,2,2,1,0,0,0,0,0,460.0,430000
26,2,Cerâmica,67,2,2,1,1,1,0,1,1,330.0,470000
27,2,Nova Gerty,66,2,2,1,0,0,0,0,0,262.0,320000
28,2,Fundação,62,3,2,1,1,0,0,1,1,474.0,599000
29,2,Boa Vista,69,2,2,1,0,0,1,0,0,280.0,320000
30,2,Fundação,67,2,2,1,0,0,0,0,0,,423300
31,2,Fundação,66,2,2,1,0,0,0,0,0,,426583
32,2,Osvaldo Cruz,98,3,3,2,0,0,0,0,0,750.0,800000
33,2,Santa Paula,70,2,3,2,0,1,0,0,1,550.0,540000
34,2,Barcelona,118,3,3,2,0,0,0,0,0,815.0,730000
35,2,Fundação,66,2,2,1,0,0,0,0,0,,428400
36,2,Santa Paula,66,2,2,1,0,0,0,1,1,,477000
37,2,Santa Maria,94,3,2,2,0,1,0,0,0,740.0,580000
38,2,Santa Paula,100,3,3,2,0,0,0,0,0,995.0,650000
39,2,Santa Paula,83,3,2,2,0,0,0,0,0,475.0,650000
