,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
0,,,0,106,,Santa Paula,2,0,755.0,0,,0,555000,3,0,2,3,
1,,,0,138,,São José,2,0,,0,,0,750000,3,0,1,2,
2,,,0,70,,Centro,2,0,609.0,0,,0,474169,2,0,2,1,
3,,,0,162,,Santo Antônio,3,0,1300.0,0,,0,760000,3,0,2,2,
4,,,0,66,,Santa Paula,2,0,,0,,1,477000,2,1,2,1,
5,,,0,94,,Santa Maria,2,1,740.0,0,,0,580000,3,0,2,2,
6,,,0,100,,Santa Paula,3,0,995.0,0,,0,650000,3,0,2,2,
7,,,0,83,,Santa Paula,2,0,475.0,0,,0,650000,3,0,2,2,
8,,,1,98,,Santa Paula,3,1,790.0,0,,1,629000,3,1,2,2,
9,,,0,69,,Cerâmica,2,0,430.0,0,,0,690000,2,0,2,1,
10,,,1,74,,Mauá,2,0,450.0,0,,1,477000,3,1,2,1,
11,,,0,107,,Santa Paula,3,0,1070.0,0,,0,615000,3,0,2,2,
12,,,0,390,,Santa Maria,6,0,,0,,1,2700000,3,0,1,8,
13,,,0,68,,Barcelona,2,0,325.0,0,,0,530000,2,0,2,2,
14,,,0,190,,Santa Paula,1,0,989.0,0,,0,1150000,4,0,2,2,
15,,,0,69,,Olímpico,2,0,450.0,0,,0,500000,2,0,2,2,
16,,,0,107,,Santa Paula,3,0,850.0,0,,0,580000,3,0,2,4,
17,,,0,288,,Santa Paula,5,0,1800.0,0,,0,1350000,4,0,2,3,
18,,,0,92,,Olímpico,2,1,600.0,0,,1,850000,3,1,2,2,
19,,,0,260,,Prosperidade,6,1,,0,,1,1200000,4,0,1,8,
20,,,0,69,,Cerâmica,2,0,550.0,0,,0,750000,2,0,2,1,
21,,,0,79,,Nova Gerty,1,0,231.0,1,,0,389000,2,0,2,2,
22,,,0,90,,Santa Maria,3,0,430.0,0,,0,510000,3,1,2,2,
23,,,0,106,,Santa Maria,2,0,670.0,0,,0,470000,3,0,2,1,
24,,,0,70,,Fundação,2,0,,0,,0,479412,2,0,2,1,
25,,,0,65,,Centro,2,0,460.0,0,,0,430000,2,0,2,1,
26,,,1,67,,Cerâmica,2,1,330.0,0,,1,470000,2,1,2,1,
27,,,0,66,,Nova Gerty,2,0,262.0,0,,0,320000,2,0,2,1,
28,,,1,62,,Fundação,2,0,474.0,0,,1,599000,3,1,2,1,
29,,,0,69,,Boa Vista,2,0,280.0,1,,0,320000,2,0,2,1,
30,,,0,67,,Fundação,2,0,,0,,0,423300,2,0,2,1,
31,,,0,66,,Fundação,2,0,,0,,0,426583,2,0,2,1,
32,,,0,98,,Osvaldo Cruz,3,0,750.0,0,,0,800000,3,0,2,2,
33,,,0,70,,Santa Paula,3,1,550.0,0,,1,540000,2,0,2,2,
34,,,0,118,,Barcelona,3,0,815.0,0,,0,730000,3,0,2,2,
35,,,0,66,,Fundação,2,0,,0,,0,428400,2,0,2,1,
36,,,0,66,,Santa Paula,2,0,,0,,1,477000,2,1,2,1,
37,,,0,94,,Santa Maria,2,1,740.0,0,,0,580000,3,0,2,2,
38,,,0,100,,Santa Paula,3,0,995.0,0,,0,650000,3,0,2,2,
39,,,0,83,,Santa Paula,2,0,475.0,0,,0,650000,3,0,2,2,
40,,,1,98,,Santa Paula,3,1,790.0,0,,1,629000,3,1,2,2,
41,,,0,69,,Cerâmica,2,0,430.0,0,,0,690000,2,0,2,1,
42,,,1,74,,Mauá,2,0,450.0,0,,1,477000,3,1,2,1,
43,,,0,107,,Santa Paula,3,0,1070.0,0,,0,615000,3,0,2,2,
44,,,0,390,,Santa Maria,6,0,,0,,1,2700000,3,0,1,8,
45,,,0,68,,Barcelona,2,0,325.0,0,,0,530000,2,0,2,2,
46,,,0,190,,Santa Paula,1,0,989.0,0,,0,1150000,4,0,2,2,
47,,,0,69,,Olímpico,2,0,450.0,0,,0,500000,2,0,2,2,
48,,,0,107,,Santa Paula,3,0,850.0,0,,0,580000,3,0,2,4,
