bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
Olimpico,102,0.6666666666666667,0.0,0.2,0,0,0,0,0,527.0,550
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,14.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,1,1,1,0,520.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,561.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,561.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,0,1,0,0,450.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,0,1,1,0,450.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,1,1,775.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,1,1,1,0,550.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,0,1,1,1,351.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,0,1,1,0,105.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,0,0,775.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,1,1,500.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,0,0,0,0,410.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,1,1,775.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,520.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,0,0,0,0,878.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,0,1,1,0,738.0,240000
Santa Maria,67,0.6666666666666667,0.8,0.8,1,0,0,1,1,105.0,240000
Santa Maria,67,0.6666666666666667,0.8,0.8,0,0,1,0,0,450.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,0,0,0,0,515.0,240000
